pressure,humidity,temperature,weather
1010.3,67,16.1,雨
1012,59,15.2,雨
1018.5,47,15.6,雨以外
1021.3,63,17,雨以外
1021.5,70,18.3,雨以外
1018.9,67,20,雨以外
1015.2,68,20.4,雨以外
1016.8,51,18.4,雨以外
1016.6,64,15.2,雨
1017.3,66,17.5,雨
1016.7,84,19.3,雨
1012.7,96,18.8,雨
1005.9,100,18.9,雨
1006.6,76,20.6,雨以外
1011.2,59,17.2,雨
1011.3,70,17.5,雨以外
1014.9,69,17.6,雨以外
1018.5,50,19.6,雨以外
1018.5,56,20.1,雨以外
1015,62,20.3,雨
1009.3,74,18.5,雨
1005.9,65,21.2,雨以外
1010.9,59,22.2,雨以外
1013.9,67,22.1,雨以外
1011,71,23,雨以外
1006.2,82,21.5,雨
1000.6,66,22.7,雨
1004.9,42,24.8,雨以外
1006.6,48,23.7,雨以外
1003,79,20,雨
1004.6,65,23.3,雨以外
1010.1,62,16,雨
1011.6,48,15.7,雨
1018,47,15.2,雨以外
1020.7,54,17.2,雨以外
1020.7,66,18.4,雨以外
1017.5,68,20.2,雨以外
1014.7,62,21.3,雨以外
1016.4,51,18.5,雨以外
1016.2,62,15.1,雨
1016.6,65,17.2,雨
1015.9,84,18.6,雨
1011.3,94,18.8,雨
1005.4,98,18.7,雨
1006.8,78,19.9,雨以外
1010.8,67,17,雨以外
1010.7,66,18,雨以外
1014.2,57,18.6,雨以外
1018,49,19.5,雨以外
1017.7,47,20.9,雨以外
1014.5,57,19.9,雨以外
1008.6,67,19,雨以外
1005.5,60,22.4,雨以外
1010.4,54,23,雨以外
1013.1,58,22.7,雨以外
1009.9,66,23.3,雨以外
1005,73,22.2,雨
1000.2,58,23.5,雨
1004.6,45,25,雨以外
1005.9,41,24.7,雨以外
1001.9,76,20.7,雨
1004.7,65,23.2,雨以外
1007.8,66,15.7,雨
1009.5,52,15.2,雨
1015.5,52,15.1,雨以外
1017.7,54,17.4,雨以外
1017.6,63,19,雨以外
1014.1,63,20.1,雨
1012.2,67,21,雨以外
1012.5,61,20,雨以外
1011.4,74,17.4,雨
1012.7,57,18,雨
1012.4,84,18.5,雨
1007.4,95,19,雨
1002.3,99,18.6,雨
1005,85,18.5,雨
1008,77,16,雨
1008.3,70,16.6,雨以外
1011.5,58,17.9,雨以外
1015.3,53,19.6,雨以外
1015.5,49,20.1,雨以外
1011.6,60,20.1,雨
1005.3,68,19.6,雨以外
1003.8,65,20.8,雨以外
1007.9,65,21.5,雨以外
1010.2,65,22.3,雨以外
1007.1,65,22.7,雨以外
1002,77,20.9,雨
999,62,21.8,雨以外
1003.5,54,22.1,雨以外
1003.6,43,22.8,雨
999,78,19.1,雨
1002.9,76,21.8,雨以外
1009.9,62,16.7,雨以外
1011.6,45,17.2,雨
1018.6,54,16.2,雨以外
1022.2,67,17,雨以外
1022.1,70,19,雨
1019.3,72,19.7,雨以外
1015.6,71,20.4,雨以外
1015.5,66,20.6,雨
1014.9,86,17.9,雨
1016.8,77,18.1,雨
1016.9,91,19.2,雨
1011.8,97,19.6,雨
1005.7,98,20.3,雨
1006,74,22.1,雨以外
1010.8,71,17.7,雨
1011.6,76,17.9,雨
1015.1,76,17.9,雨以外
1019,61,18.9,雨以外
1019.2,57,19.7,雨以外
1015.5,62,19.7,雨
1009.4,80,18.1,雨
1006.7,71,20,雨以外
1010.9,73,21.3,雨以外
1014.4,71,21.9,雨以外
1011.6,74,22,雨以外
1006.4,88,20.4,雨
1000.9,60,23,雨以外
1005.6,59,22.4,雨以外
1007.4,57,22.6,雨以外
1003.2,89,19.2,雨
1004.5,68,23.8,雨以外
